NIF_PRO,NOM_APE_PRO,TEL_PRO,DIR_PRO,EMAIL_PRO
"14502369-O","JORGE PAUCAR","2314-456","San Agustin","jorge@gmail.com"
"15903570-X","MARCOS ALARCON","5647-708","Miraflores","marcos@gmail.com"
"23650045-F","CRISTHIAN SUAREZ","5634-123","San Martin","cristhian@gmail.com"
"25902570-H","LUIS CACERES","5987-506","Ohhings","luis@gmail.com"
"30124569-I","ALEXANDER VALENTIN","5647-789","San Lorenso","alex@gmail.com"
"36907402-J","BRYAN CASAS","5807-604","Primaver","brya@gmail.com"
"47105820-K","JOSETH VIVANCO","5412-798","Linda Rosas","joseth@gmail.com"
"56402310-R","NICOLAS GARCIA","5674-564","Los Diamantes","nicolas@gmail.com"
"69304710-T","JULIO GUTIERREZ","5368-201","Casuarinas","julio@gmail.com"
"89702310-W","ALDAIR QUISPE","5489-231","La Molina","aldair@gmail.com"
